,id
0,98811885
1,95931901
2,98750560
3,98942399
4,97949995
5,95499926
6,99338182
7,98719316
8,98822161
9,99045241
10,98960009
11,96318991
12,99129858
13,97702649
14,99417058
15,99343448
16,99213688
17,97366293
18,98655741
19,97009508
20,96966283
21,96264226
22,99267735
23,99288860
24,99288592
25,98893481
26,98873419
27,98557538
28,97527823
29,97143561
30,96459404
31,98801384
32,94804199
33,99026825
34,97210242
35,98124262
36,97634541
37,97124225
38,99288393
39,98281131
40,97431795
41,97008087
42,99199774
43,99101562
44,98345112
45,97283582
46,92690638
47,86709875
48,95767352
49,94620374
50,91773542
51,98616786
52,97317917
53,97597379
54,99375174
55,99285180
56,98961792
57,98076552
58,98690124
59,95011891
60,89127955
61,96830639
62,81246662
63,96481816
64,81395404
65,98635787
66,99124298
67,98948359
68,98483847
69,99282287
70,97741878
71,99354548
72,99309774
73,98904108
74,36820701
75,98490064
76,99362718
77,98606809
78,97434759
79,99261963
80,99212700
81,98980672
82,98504063
83,99339984
84,98951616
85,98735583
86,87347187
87,98239236
88,99286472
89,89664288
90,87381531
91,35189141
92,98829480
93,99409809
94,90352269
95,86441518
96,85800689
97,99062586
98,89123133
99,96209007
100,83184586
101,99236247
102,1673112
103,1726452
104,99016039
105,99355423
106,97376573
107,99423830
108,99421513
109,99402032
110,98479939
111,95142264
112,99407085
113,99407200
114,99407174
115,97269833
116,98731237
117,98480236
118,98730783
119,98416369
120,97349017
121,97392390
122,97223580
123,97672754
124,94812997
125,94816472
126,94798599
127,92202705
128,98693719
129,98416642
130,99140236
131,99140209
132,99140204
133,99140224
134,99140223
135,93461302
136,97746122
137,97746166
138,97746121
139,97746135
140,97560509
141,98822279
142,99231918
143,99398811
144,98579281
145,98422378
146,98422353
147,98310697
148,98310694
149,98310685
150,93506908
151,98919629
152,91015857
153,90764671
154,99342596
155,99139590
156,98664897
157,94438466
158,97269863
159,95936090
160,95499925
161,99227375
162,98759241
163,98759217
164,98759180
165,98694322
166,98291831
167,98281369
168,98281456
169,98281434
170,98281425
171,94502906
172,99256604
173,98489077
174,99213406
175,99213375
176,97226715
177,97891443
178,96780350
179,96780338
180,94875653
181,94452791
182,98257711
183,97729299
184,99407752
185,99280871
186,99229745
187,99171035
188,98348144
189,99294450
190,97052160
191,94212747
192,99202895
193,99075078
194,84427204
195,99403118
196,95999629
197,95340804
198,99348731
199,99347775
200,98766438
201,98146012
202,99129348
203,97909166
204,97649541
205,98637502
206,97007984
207,98472401
208,98472579
209,98472072
210,99082554
211,98562999
212,98386839
213,98386391
214,97728293
215,97118162
216,97114358
217,96972808
218,88474643
219,90233700
220,81819874
221,99005479
222,98057848
223,98575757
224,98478921
225,87731076
226,96773115
227,30872237
228,98556823
229,98153962
230,98087231
231,98079770
232,97800234
233,97504611
234,96644583
235,95220322
236,98767180
237,96766192
238,96531515
239,98511080
240,36176885
241,99274064
242,99260898
243,98529338
244,98311807
245,98157058
246,97041913
247,40284020
248,99239988
249,98435598
250,96477259
251,99205359
252,98383548
253,87119220
254,98458294
255,98359135
256,28001162
257,99165539
258,98851178
259,98832409
260,98658932
261,98206005
262,97646059
263,91657716
264,87027520
265,98193852
266,97784978
267,97240109
268,99221218
269,98326818
270,96743902
271,86893358
272,99160191
273,99002623
274,96257663
275,93507258
276,98716620
277,95623415
278,97753987
279,98259272
280,98266632
281,97256692
282,95283504
283,96815353
284,96800606
285,95990770
286,95890214
287,95330815
288,93425705
289,95116125
290,99097874
291,99006113
292,98821144
293,98241163
294,97463080
295,94784137
296,90019126
297,34236624
298,83948683
299,99004766
300,97855315
301,96543714
302,90218567
303,98323890
304,99218966
305,98478938
306,98312613
307,93854794
308,94964371
309,99357302
310,83832838
311,98581220
312,99262937
313,93457620
314,96792653
315,98648767
316,94360163
317,88563249
318,99172502
319,98579053
320,98238304
321,93931595
322,95865870
323,94211486
324,99099163
325,97792702
326,93466795
327,99342265
328,97012860
329,89296108
330,98337314
331,90026358
332,98595144
333,98414963
334,96305785
335,98790947
336,96133949
337,99156554
338,99216120
339,98986313
340,98502872
341,92113328
